pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,route_distance_km,route_duration_min,pickup_hour,day_of_week,weather_flag,fare_amount
19.101462,72.852937,19.130346,72.894241,1,5.4,24.2,10,2,0,221.82
19.064299,72.833966,19.209949,72.982574,1,22.49,68.3,15,6,1,662.17
19.013098,72.867129,19.200158,72.982402,1,24.07,81.2,6,1,2,909.53
19.048836,72.819141,19.094,72.878928,1,8.04,22.9,16,3,1,225.33
19.108018,72.849108,18.954805,72.84098,3,17.06,57.2,13,6,0,489.22
18.945388,72.82687,19.209537,72.979808,1,33.48,93.0,14,4,2,997.42
19.122195,72.89974,19.026074,72.85696,2,11.6,30.7,4,1,0,318.49
18.927616,72.818233,19.133037,72.911652,1,24.86,66.2,2,0,2,892.86
19.028231,72.850251,19.071217,72.874027,1,5.39,14.8,12,2,0,123.69
19.049572,72.825915,19.083414,72.872655,2,6.19,17.9,1,1,0,177.97
19.117961,72.835138,19.081402,72.870274,2,5.49,15.4,6,5,0,134.73
19.210491,72.964686,19.217693,72.985797,1,2.36,6.0,23,6,0,60.23
19.134521,72.902545,18.930157,72.825175,2,24.14,61.2,2,0,2,811.34
18.945374,72.842528,19.059178,72.848926,1,12.67,36.4,3,6,0,380.05
19.114411,72.851692,19.115653,72.859057,2,0.79,3.2,8,3,0,47.28
19.046364,72.869184,19.011747,72.831647,3,5.51,18.6,7,6,0,164.8
19.202839,72.995088,19.067418,73.004999,2,15.09,57.8,19,3,2,668.87
19.083161,72.859568,19.032053,72.84398,3,5.91,27.0,19,2,1,291.66
19.130657,72.888368,19.22484,72.958302,1,12.79,55.0,17,1,0,507.29
18.939756,72.822453,19.132385,72.921969,2,23.84,65.1,0,3,0,670.07
19.10946,72.86532,19.033482,72.853046,2,8.55,24.1,0,3,1,289.01
19.046673,72.874519,18.959782,72.834098,1,10.56,30.2,5,2,2,402.9
18.942111,72.838192,18.923014,72.827528,1,2.4,6.1,0,2,0,63.73
19.109217,72.896357,19.114046,72.836567,1,6.3,17.8,16,0,0,150.39
19.081344,72.877974,19.008048,72.852261,1,8.59,27.1,6,0,0,230.27
19.01132,72.842823,18.941339,72.830281,1,7.89,35.4,21,1,0,324.32
19.090004,72.993008,19.06049,72.8403,1,16.38,41.0,4,6,0,430.05
19.075134,72.85091,18.944452,72.816318,2,14.98,65.3,18,3,0,608.75
19.095606,73.012039,19.22584,72.960428,3,15.46,44.7,14,1,0,375.9
19.064069,72.826284,19.071339,73.008914,1,19.21,53.0,13,3,0,451.36
19.052713,72.849386,19.076765,72.997539,1,15.8,39.2,4,6,1,457.73
19.082134,72.998725,18.941575,72.842659,2,22.66,76.4,15,6,1,761.75
19.068719,72.864227,18.93833,72.837125,3,14.78,44.0,2,0,1,534.65
18.946229,72.830716,19.058031,73.011179,1,22.68,64.3,3,1,0,667.7
19.135803,72.920139,19.220219,72.975039,1,11.02,31.4,2,0,0,331.01
19.10683,72.879937,18.947194,72.844896,1,18.13,55.7,16,0,1,535.29
19.111605,72.830399,19.046134,72.884915,1,9.26,31.3,6,3,2,361.13
19.043268,72.833598,19.072601,72.878795,2,5.76,19.4,6,4,2,223.13
19.074761,73.014108,18.962546,72.830921,2,22.95,75.7,16,4,0,648.63
19.062964,72.999133,19.139166,72.841371,1,18.62,85.2,19,0,2,1024.52
19.059709,72.877027,19.028886,72.850136,1,4.44,17.9,18,6,0,168.19
19.050453,72.853401,19.228068,72.985342,1,24.13,80.1,16,0,0,680.26
19.131784,72.865516,19.041336,72.846486,3,10.25,29.1,3,2,0,300.98
18.945102,72.838673,19.071418,72.856839,4,14.17,43.1,7,5,0,361.56
19.113187,72.913874,19.120534,72.911346,1,0.86,4.0,8,3,0,47.97
19.069811,72.859538,19.030701,72.865792,2,4.4,13.2,14,0,1,130.73
18.945864,72.809993,19.121459,72.920422,4,22.72,71.2,16,2,0,604.94
19.003154,72.828347,19.104189,72.878116,4,12.39,34.2,5,2,1,414.27
19.069883,72.824614,19.057622,72.814666,4,1.72,5.0,12,3,0,34.05
19.107287,72.907927,19.130593,72.847207,3,6.89,28.6,21,3,1,305.41
19.221898,72.977302,19.099805,72.870412,2,17.62,65.1,18,6,0,579.33
19.033966,72.84173,19.117736,72.862819,1,9.57,41.2,9,2,1,425.64
19.094164,72.998285,19.064065,72.887901,1,12.07,38.1,12,5,0,327.11
19.13426,72.904466,19.018409,72.866724,2,13.48,59.9,18,2,0,548.11
19.06418,72.982148,18.941377,72.82954,3,21.07,62.2,16,5,0,523.0
19.10297,72.861343,18.931075,72.847548,2,19.17,79.2,19,6,1,820.51
19.087498,72.999851,18.953699,72.804867,1,25.33,84.5,6,2,0,724.05
19.071266,72.994487,19.227796,72.965391,1,17.67,49.3,16,6,0,410.42
19.233921,72.981844,19.059904,72.874653,1,22.39,63.9,3,6,0,675.54
19.068451,72.993123,19.081402,72.988374,1,1.52,4.5,5,4,0,57.78
19.045714,72.819338,19.079733,72.852216,2,5.12,14.9,23,6,0,160.82
19.138703,72.84603,19.126446,72.863575,1,2.29,6.7,7,1,1,65.56
19.13842,72.854838,19.066004,72.858396,1,8.06,25.2,13,5,0,228.26
18.934769,72.833471,19.042135,72.849098,1,12.05,31.3,1,3,0,312.97
18.924668,72.834227,19.116174,72.840355,3,21.3,78.4,11,1,0,691.5
19.101624,72.857661,19.22832,72.990081,2,19.8,51.1,4,4,0,523.93
19.058348,72.872232,18.956464,72.820965,1,12.55,48.6,18,4,0,425.73
18.935659,72.836574,19.075859,72.83447,1,15.59,43.6,5,2,0,454.0
19.077461,72.873503,19.075358,72.871626,2,3.49,10.0,4,2,0,112.29
19.070783,73.01145,19.06398,72.872858,1,14.58,44.6,7,4,0,379.97
18.924288,72.827338,19.067409,72.858772,1,16.25,73.7,10,5,0,680.11
19.080549,72.998836,19.208541,72.987144,1,14.28,65.0,11,3,1,682.49
19.06789,72.815602,19.059857,72.981693,1,17.48,79.3,8,5,0,733.47
19.050687,72.885534,19.120454,72.850051,1,8.61,33.7,8,4,1,343.82
19.063749,72.814071,19.067196,72.885494,1,7.52,32.7,17,2,0,299.1
19.007729,72.850905,19.062457,72.885294,1,7.08,26.8,10,5,0,230.38
18.927121,72.853743,18.942292,72.849725,1,1.74,5.1,7,0,0,36.26
19.142322,72.896206,18.921462,72.834183,1,25.41,111.6,17,0,0,1017.27
18.945178,72.822644,19.130314,72.830519,1,20.6,59.0,22,6,0,494.08
18.921015,72.821546,18.95848,72.819719,1,4.17,11.8,2,6,0,127.65
19.113271,72.849178,19.02391,72.837327,1,10.01,27.9,23,5,1,332.15
19.105453,72.84612,19.099036,72.879525,1,3.58,15.2,18,3,0,133.81
18.952698,72.828973,19.090104,72.993122,1,23.05,90.4,19,4,1,934.56
19.035738,72.858344,19.11097,72.910631,4,10.01,27.2,22,0,0,223.74
19.219965,72.983439,19.078321,72.871402,1,19.66,57.3,12,1,0,472.37
18.93621,72.835199,19.073863,72.851201,1,15.4,42.8,5,2,0,447.95
19.218071,72.981032,18.936751,72.830626,1,35.05,104.4,1,3,0,1099.51
19.073083,72.826988,19.074462,72.860585,1,3.53,10.0,1,6,1,118.48
19.05895,72.820296,19.052181,72.882361,2,6.57,19.4,12,2,1,187.78
19.123793,72.897856,19.000911,72.827894,4,15.52,39.0,5,1,0,406.73
18.925473,72.853309,19.090452,72.849068,4,18.35,81.2,18,6,0,753.07
19.234435,72.983967,19.059164,73.005397,1,19.62,66.9,15,6,0,581.61
19.13632,72.827758,19.068841,72.817204,1,7.58,20.6,22,4,1,193.81
19.082882,73.004607,19.1156,72.892823,1,12.3,32.5,4,2,0,338.89
19.082212,72.86718,19.11245,72.851436,3,3.75,14.2,9,3,0,127.1
19.000601,72.828179,18.936077,72.834495,2,7.21,21.6,23,3,1,266.87
19.211755,72.979001,18.929551,72.819719,1,35.57,153.9,17,3,0,1412.44
19.202679,72.973765,19.05443,72.886698,2,18.85,75.4,10,3,1,778.45
19.125096,72.912536,19.228034,72.960699,1,12.51,55.7,21,4,0,514.05
19.205758,72.989283,19.131731,72.851591,1,16.64,69.8,8,2,0,632.84
19.07771,72.998247,18.926156,72.847933,1,23.1,63.5,23,4,0,654.21
19.213947,72.969018,19.200075,72.992188,1,2.88,8.9,14,0,0,76.99
19.116506,72.888203,19.041551,72.830804,4,10.29,34.3,15,4,2,389.62
19.011712,72.854921,18.955145,72.847197,2,6.34,18.6,0,2,0,195.32
19.235504,72.962333,19.107269,72.861665,4,17.75,78.9,18,6,0,734.86
18.956519,72.836685,19.077325,72.848964,1,13.49,49.6,8,0,0,432.44
19.139147,72.893138,19.028241,72.849451,4,13.16,42.7,14,5,1,423.08
19.057739,72.877027,19.128043,72.845343,1,8.5,24.8,23,2,2,335.48
19.071603,72.872476,19.072225,72.878461,1,0.63,2.7,18,2,0,43.22
19.090681,72.878637,19.079298,72.879613,1,1.27,5.7,10,2,2,67.29
19.123693,72.925745,19.065141,72.825404,1,12.39,33.2,2,2,1,390.62
18.946067,72.830041,19.11277,72.896148,1,19.8,60.1,7,6,0,505.1
19.094649,72.85085,19.076073,72.8482,1,2.08,5.7,14,0,0,40.22
19.206321,72.977764,19.122979,72.83716,2,17.43,64.7,10,4,0,573.87
18.942998,72.827401,19.232705,72.989294,1,36.43,133.3,21,2,0,1185.16
19.059541,72.879732,18.936858,72.824108,1,14.84,40.8,12,5,0,338.73
19.112584,72.865499,19.084679,73.010623,1,15.56,39.1,22,3,0,328.4
19.144294,72.913012,19.059278,72.881293,1,10.02,42.1,19,3,1,442.12
18.99943,72.83436,18.926214,72.813284,1,8.44,24.3,12,2,2,259.15
19.086946,72.847346,18.924634,72.829531,1,18.15,49.4,23,0,0,509.25
19.025009,72.830688,18.953618,72.822268,4,7.99,22.3,23,3,0,232.91
18.958481,72.826547,19.046876,72.864521,2,10.61,34.7,14,1,0,305.69
19.021494,72.864295,19.022719,72.853062,2,1.19,3.4,2,1,1,46.84
18.931039,72.837575,19.208189,72.99293,1,34.88,92.4,23,6,0,949.17
19.125785,72.838886,18.958119,72.803761,1,19.01,87.5,11,3,0,815.81
19.083876,72.98443,19.049549,72.834186,2,16.24,64.3,21,3,0,570.29
19.06094,72.840772,19.138627,72.911414,3,11.39,41.8,11,2,0,368.18
19.047768,72.8743,19.015888,72.865155,1,3.67,10.1,16,2,0,80.81
19.058796,72.836939,18.936725,72.842324,1,13.59,37.2,23,6,0,380.59
19.073887,72.856774,19.076095,72.853134,1,2.88,8.6,5,4,0,91.18
18.953525,72.853085,19.057801,72.988366,2,18.35,50.4,14,0,1,486.83
19.035435,72.860874,19.062687,72.823443,1,4.97,14.8,5,6,0,162.55
19.201919,72.969647,19.07172,72.879308,3,17.31,78.4,18,5,1,840.55
18.924808,72.83708,19.211435,72.983308,2,35.38,105.7,14,4,0,888.75
18.929502,72.83023,19.102628,72.850538,2,19.37,78.5,9,1,0,707.74
19.136269,72.858951,19.213508,72.974053,1,14.83,62.4,11,3,1,659.05
19.129575,72.85502,19.047431,72.809803,2,10.3,32.7,14,0,0,278.49
19.001857,72.847235,19.050995,72.821792,2,6.08,17.0,2,1,0,169.55
18.959069,72.848227,19.096845,72.852858,1,15.33,42.9,6,6,0,364.48
18.93494,72.83636,19.095119,72.866207,1,18.09,76.2,8,6,0,693.2
